DENIM,FIBERBASE,UNITWEIGHT,WARPSPEED
20,21120,0.02,80
20,21120,0.01,150
20,13200,0.01,60
20,13199,0.01,150
20,13200,0.13,60
20,13200,0.01,60
320,1392,0.04,300
119,13049,0.95,250
119,13049,0.95,250
119,13049,0.95,250
118,13049,1.2,250
118,13049,1.2,250
117,13049,0.39,250
117,13049,0.9,250
117,13049,0.47,250
117,13049,0.78,250
117,13049,0.78,250
117,13049,0.78,250
119,14739,0.9,250
119,14739,0.9,250
119,14739,0.9,250
119,14739,0.9,250
119,14739,0.9,250
119,14739,0.9,250
108,16629,1.0,250
115,13049,1.0,250
115,13049,1.0,250
115,13049,1.0,250
115,13049,1.0,250
115,13049,1.0,250
89,7696,3.33,160
89,7696,3.33,160
89,7696,3.62,160
89,7696,3.62,160
89,7696,3.31,160
89,7696,3.31,160
89,7696,0.35,160
89,7696,3.39,160
89,7696,3.39,160
89,7696,2.12,160
89,7696,3.66,160
89,7696,3.66,160
89,7696,3.66,160
89,7696,2.61,160
89,7696,1.54,160
89,7696,0.85,160
90,7696,0.99,160
90,7696,0.72,160
90,7696,1.24,160
90,7696,0.72,160
90,7696,3.67,160
90,7696,3.67,160
81,5493,1.55,180
81,5493,0.12,180
81,5493,1.98,180
81,5493,1.98,180
81,5493,0.12,180
81,5493,0.12,180
81,5493,0.19,180
81,5493,0.19,180
81,5493,1.32,180
81,5640,0.33,200
81,5493,0.32,180
81,5640,0.4,200
81,5493,1.16,180
81,5493,1.16,180
81,5493,0.32,180
81,5493,1.16,180
81,5493,1.36,180
81,5776,0.02,200
81,7200,0.01,180
81,6092,0.02,180
81,5712,0.03,180
81,5640,0.03,200
81,5493,0.54,180
81,5640,0.35,200
81,6092,0.02,200
81,5493,2.29,180
81,5640,0.24,160
81,4360,1.89,180
81,4360,2.32,100
81,5493,3.42,180
81,5640,0.76,100
81,5640,0.76,100
49,10800,0.11,300
49,10800,0.66,300
49,10800,0.02,300
50,12000,0.24,400
50,12000,0.76,400
50,12000,0.35,400
72,14070,0.29,400
72,14070,0.95,400
72,14070,0.26,400
72,14070,0.23,400
72,14070,0.14,400
72,14070,0.18,400
72,14070,0.4,400
72,14070,0.94,400
73,14070,0.27,400
73,14070,0.27,400
73,14070,0.27,400
73,14070,0.49,400
73,14070,1.54,400
73,14070,0.38,400
73,14070,0.27,400
73,14070,0.8,400
73,14070,0.47,400
73,14070,0.93,400
73,14070,2.19,400
73,14070,0.27,400
73,14070,0.37,400
73,14070,0.23,400
73,15350,0.02,400
248,108,0.19,200
20,13200,0.03,60
90,7696,3.63,160
90,7696,1.34,160
90,7696,0.1,160
90,7696,3.63,160
90,7696,0.99,160
90,8056,0.02,160
90,7696,0.53,160
90,7696,0.9,160
90,7696,0.94,160
90,7696,2.07,160
90,9600,0.03,160
90,7696,0.56,160
90,7696,3.4,160
90,7696,0.76,160
90,7696,0.61,160
90,7696,0.49,160
90,9000,0.05,160
90,7696,1.56,160
90,7696,0.65,160
84,5493,3.44,180
84,5493,3.16,180
84,5493,0.28,180
84,6000,0.01,180
83,5493,3.45,180
83,4360,2.23,180
418,1121,0.75,250
90,7696,1.0,160
112,7498,0.34,160
